Country,BP_Start,BP_End,BP_Slope,BP_Curvature,Obesity_Start,Obesity_End,Obesity_Slope,Obesity_Curvature,Diabetes_Start,Diabetes_End,Diabetes_Slope,Diabetes_Curvature,Cluster,Cluster_Name,Country_Code,Continent,UHC_End,Gini_Index,Gini_Year,Income_Group,WHO_Region,Income_Group_Ordinal,BP_Residual,BP_Predicted_By_Obesity
Bolivia,24.869816304643823,18.491153482177307,-0.2275461394661286,-0.0793484252653853,6.593037147270664,18.83197581107264,0.4093510254839628,0.0636425523304393,4.630247631747407,7.640415552403775,0.0990001248886616,0.0197474326249903,2,Wealthy Decouplers,BOL,South America,54.8,40.9,2024.0,Lower middle income,Americas,2.0,-6.368026120373553,24.85917960255086
Bosnia and Herzegovina,31.888160225180496,30.717765471407603,-0.0557187858493416,0.0058041319152464,7.961652803592794,16.924861127086082,0.2942395626373777,0.0453213393097559,4.772779776344689,7.352695932002016,0.0965702183858664,0.0009759795758483,4,Lean Hypertension / Low-Obesity Rising-BP,BIH,Europe,61.0,30.3,2021.0,Upper middle income,Europe,3.0,5.641650326867616,25.076115144539987
Botswana,30.01889908952512,29.92648656493284,-0.0195531137222789,-0.5320814975323724,4.096759694556157,17.898729866262766,0.4737211501025033,-0.1010367279527094,3.162605796521839,8.16764555919492,0.1678081675361787,-0.0556047210893281,4,Lean Hypertension / Low-Obesity Rising-BP,BWA,Africa,56.4,54.9,2015.0,Upper middle income,Africa,3.0,4.961149626094642,24.9653369388382
Brazil,34.352750962328834,24.45914007499491,-0.3390693808933956,-0.1348252823111553,7.523485862599928,20.76797687227387,0.4452669010861405,0.0892855687272792,5.360065962292195,8.006611255793425,0.0862916943150039,0.0124768249747204,2,Wealthy Decouplers,BRA,South America,80.2,50.3,2024.0,Upper middle income,Americas,3.0,-0.1798181412755575,24.638958216270467
Brunei Darussalam,26.292663589582112,19.54804331060437,-0.2277890486592521,-0.0578477420976913,3.378279592252855,12.594854596049077,0.3069586259711236,0.2114480063170002,7.59307849063372,9.48942173336499,0.0695272876495379,-0.0732073454484455,2,Wealthy Decouplers,BRN,Asia,81.0,,,High income,Western Pacific,4.0,-6.02061290737721,25.56865621798158
Bulgaria,38.230998600138165,29.11541454426644,-0.3313696997617339,-0.1891679367048282,13.238928879505035,24.04157953566613,0.3545036601448745,0.0653346137228313,5.24850869098047,7.417342958602584,0.0703900822296939,0.0543080454075074,3,High-Starting-BP Recovery,BGR,Europe,68.4,39.5,2023.0,Upper middle income,Europe,3.0,4.848830770919118,24.26658377334732
Burkina Faso,27.312122875276508,32.43026136941113,0.1694609228151046,-0.2200443547894888,0.6809201369574553,4.443976979060011,0.1215817323694135,0.1230063444886488,2.4282591865029857,6.138112917558157,0.1262744694977963,0.0539647522118334,4,Lean Hypertension / Low-Obesity Rising-BP,BFA,Africa,35.4,37.4,2021.0,Low income,Africa,1.0,5.934437494247884,26.495823875163243
Burundi,20.85259574309088,28.47328888059481,0.2516225679147311,-0.0547398793254674,0.8829833916480272,4.576930765386933,0.121073454360418,0.1011980431647967,1.340687480239346,3.90818066606676,0.0858198767382199,0.0339707902365956,4,Lean Hypertension / Low-Obesity Rising-BP,BDI,Africa,44.8,37.5,2020.0,Low income,Africa,1.0,1.9925885855384813,26.48070029505633
Cabo Verde,30.17537851108171,30.29964513496256,0.0061988141918095,-0.4494951979067757,1.6604815244338451,10.452269219452734,0.2964087542616588,0.1180647575196494,3.354845529342489,8.342319135342358,0.1732202304466384,0.0179890098644118,4,Lean Hypertension / Low-Obesity Rising-BP,CPV,Africa,61.6,42.4,2015.0,Lower middle income,Africa,2.0,4.487268429779707,25.812376705182853
Cambodia,20.35510198726155,25.58521927261877,0.1739225272517719,-0.1002676501755964,0.4003436418192477,3.1221072813762945,0.0887704004167059,0.079847467510839,3.1729216169420558,6.870469119405845,0.1235397041911697,0.0202519726128187,4,Lean Hypertension / Low-Obesity Rising-BP,KHM,Asia,48.2,,,Lower middle income,Western Pacific,2.0,-1.0609681447655355,26.646187417384304
Cameroon,27.6286580323208,25.654728257019496,-0.0668493996867532,-0.2952957588112503,2.2420921960082274,10.12125644286086,0.2614349125240934,0.1465122655273114,3.150726473491371,6.457738030903374,0.111970094189433,0.0368300267745945,4,Lean Hypertension / Low-Obesity Rising-BP,CMR,Africa,43.6,42.2,2021.0,Lower middle income,Africa,2.0,-0.19530136788456431,25.85002962490406
Canada,27.609220291187263,14.273099914881808,-0.4429611077186179,0.0640307955024875,12.411190821191871,28.11455200937369,0.5319170579565243,0.1232517006628418,4.569265714275868,5.488166124823307,0.0329058622110297,-0.0411819243266323,2,Wealthy Decouplers,CAN,North America,89.8,31.5,2022.0,High income,Americas,4.0,-9.53018057706895,23.80328049195076
Central African Republic,30.502319883606845,31.17988614846872,0.0188845185952355,-0.0945359022366357,1.788482165221684,6.485029245937906,0.154277843410189,0.0944580644985695,3.030098429715681,7.34637926145672,0.1420020464984055,0.0914295229449243,4,Lean Hypertension / Low-Obesity Rising-BP,CAF,Africa,29.2,43.0,2021.0,Low income,Africa,1.0,4.91623330290383,26.26365284556489
Chad,29.21285655420989,32.49204602837665,0.1017096852815286,-0.1243454778813562,1.1750460525429072,5.25754246811662,0.1344772281263135,0.0910544452797676,2.7224641439792903,6.672767078791091,0.1342776905975067,0.0682684902018454,4,Lean Hypertension / Low-Obesity Rising-BP,TCD,Africa,25.0,37.4,2022.0,Low income,Africa,1.0,6.088765759423399,26.40328026895325
